game_id,date,season,week,home_team,away_team,home_score,away_score,neutral_site,home_rating_pre,away_rating_pre,home_rating_post,away_rating_post,rating_diff,expected_home_win_prob,actual_home_result,margin
2023_04_TB_NO,2023-10-01,2023,4,NO,TB,9.0,26.0,False,1503.1716122392063,1498.898505946633,1492.3589037768145,1509.7112144090247,59.2731062925734,0.5844828201917244,0.0,-17.0
2023_04_KC_NYJ,2023-10-01,2023,4,NYJ,KC,20.0,23.0,False,1490.96149241769,1515.8528383649366,1487.9094265985655,1518.904904184061,30.10865405275331,0.5432216935274632,0.0,-3.0
2023_04_WAS_PHI,2023-10-01,2023,4,PHI,WAS,34.0,31.0,False,1517.587318702798,1487.8499117358515,1519.637183731681,1485.8000467069685,84.73740696694654,0.6195851386479757,1.0,3.0
2023_04_ARI_SF,2023-10-01,2023,4,SF,ARI,35.0,16.0,False,1526.0267605135562,1500.8966890288568,1533.6382586111351,1493.2851909312778,80.13007148469933,0.6133144090382995,1.0,19.0
2023_04_CIN_TEN,2023-10-01,2023,4,TEN,CIN,27.0,3.0,False,1491.4666596334953,1490.3205603710132,1501.3789939512485,1480.40822605326,56.14609926248204,0.5801046313033386,1.0,24.0
2023_04_SEA_NYG,2023-10-02,2023,4,NYG,SEA,3.0,24.0,False,1476.7161940380488,1499.8420488491288,1464.7605080414883,1511.7977348456893,31.87414518892001,0.5457423249777785,0.0,-21.0
2023_05_CHI_WAS,2023-10-05,2023,5,WAS,CHI,20.0,40.0,False,1485.8000467069685,1469.6891175667186,1473.4552100603266,1482.0339542133604,71.11092914024994,0.600931390522327,0.0,-20.0
2023_05_CIN_ARI,2023-10-08,2023,5,ARI,CIN,20.0,34.0,False,1493.2851909312778,1480.40822605326,1483.7160292999533,1489.9773876845845,67.87696487801782,0.5964587129161665,0.0,-14.0
2023_05_HOU_ATL,2023-10-08,2023,5,ATL,HOU,21.0,19.0,False,1492.88754193132,1506.7924786379824,1494.7377125228977,1504.9423080464046,41.09506329333749,0.5588662844666769,1.0,2.0
2023_05_JAX_BUF,2023-10-08,2023,5,BUF,JAX,20.0,25.0,False,1535.9834363701964,1496.5044782370874,1531.1438404861635,1501.3440741211202,94.47895813310902,0.6327109636997928,0.0,-5.0
2023_05_NYJ_DEN,2023-10-08,2023,5,DEN,NYJ,21.0,31.0,False,1483.4447739305624,1487.9094265985655,1476.0942579500747,1495.2599425790531,50.535347331996945,0.572217639178472,0.0,-10.0
2023_05_CAR_DET,2023-10-08,2023,5,DET,CAR,42.0,24.0,False,1512.8487730443865,1478.4417481721741,1519.8899366434316,1471.400584573129,89.40702487221233,0.6259001718942208,1.0,18.0
2023_05_TEN_IND,2023-10-08,2023,5,IND,TEN,23.0,16.0,False,1498.560538679945,1501.3789939512485,1502.8129863816862,1497.1265462495073,52.18154472869651,0.5745356815211895,1.0,7.0
2023_05_PHI_LA,2023-10-08,2023,5,LA,PHI,14.0,23.0,False,1507.6924539751994,1519.637183731681,1500.9519201335124,1526.377717573368,43.05527024351841,0.5616462716878314,0.0,-9.0
2023_05_NYG_MIA,2023-10-08,2023,5,MIA,NYG,31.0,16.0,False,1512.8965692513978,1464.7605080414883,1518.7308960898483,1458.9261812030377,103.13606120990949,0.6442133926588228,1.0,15.0
2023_05_KC_MIN,2023-10-08,2023,5,MIN,KC,20.0,27.0,False,1495.5577082409075,1518.904904184061,1490.0189403503646,1524.443672074604,31.652804056846435,0.5454264370794643,0.0,-7.0
2023_05_NO_NE,2023-10-08,2023,5,NE,NO,0.0,34.0,False,1482.731679810692,1492.3589037768145,1465.5718762925815,1509.518707294925,45.37277603387747,0.5649279851409195,0.0,-34.0
2023_05_BAL_PIT,2023-10-08,2023,5,PIT,BAL,17.0,10.0,False,1484.5456425516188,1521.6135674843597,1489.413390705257,1516.7458193307216,17.93207506725912,0.5257834399754058,1.0,7.0
2023_05_DAL_SF,2023-10-08,2023,5,SF,DAL,42.0,10.0,False,1533.6382586111351,1532.351082032372,1545.7548794316235,1520.2344612118836,56.28717657876314,0.5803024339183361,1.0,32.0
2023_05_GB_LV,2023-10-09,2023,5,LV,GB,17.0,13.0,False,1481.6093689685727,1501.6382323225187,1484.6889181352703,1498.558683155821,34.97113664605399,0.5501582339012648,1.0,4.0
2023_06_DEN_KC,2023-10-12,2023,6,KC,DEN,19.0,8.0,False,1524.443672074604,1476.0942579500747,1529.1349330634603,1471.4029969612184,103.34941412452918,0.6444948396785616,1.0,11.0
2023_06_WAS_ATL,2023-10-15,2023,6,ATL,WAS,16.0,24.0,False,1494.7377125228977,1473.4552100603266,1488.1861625072822,1480.006760075942,76.28250246257107,0.6080487005964479,0.0,-8.0
2023_06_NYG_BUF,2023-10-15,2023,6,BUF,NYG,14.0,9.0,False,1531.1438404861635,1458.9261812030377,1533.5683137889987,1456.5017079002025,127.21765928312584,0.6753149884767157,1.0,5.0
2023_06_MIN_CHI,2023-10-15,2023,6,CHI,MIN,13.0,19.0,False,1482.0339542133604,1490.0189403503646,1476.92403342587,1495.128861137855,47.01501386299583,0.5672500602809051,0.0,-6.0
2023_06_SEA_CIN,2023-10-15,2023,6,CIN,SEA,17.0,13.0,False,1489.9773876845845,1511.7977348456893,1493.0787416199166,1508.6963809103572,33.17965283889521,0.5476047282195914,1.0,4.0
2023_06_SF_CLE,2023-10-15,2023,6,CLE,SF,19.0,17.0,False,1501.4720689257551,1545.7548794316235,1503.5534375353761,1543.6735108220025,10.717189494131617,0.5154183855423351,1.0,2.0
2023_06_NO_HOU,2023-10-15,2023,6,HOU,NO,20.0,13.0,False,1504.9423080464046,1509.518707294925,1509.2252800929473,1505.2357352483823,50.423600751479626,0.5720601704884416,1.0,7.0
